City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Raduzhnyy,RU,2021-10-20 23:49:01,62.0961,77.475,39.25,92,100,6.93
1,Hilo,US,2021-10-20 23:49:01,19.7297,-155.09,80.33,67,40,11.5
2,Vardo,NO,2021-10-20 23:49:02,70.3705,31.1107,33.76,76,100,25.39
3,New Norfolk,AU,2021-10-20 23:47:08,-42.7826,147.0587,66.65,49,93,3.0
4,Severo-Kurilsk,RU,2021-10-20 23:47:24,50.6789,156.125,36.54,63,79,22.37
5,Jieshi,CN,2021-10-20 23:49:03,22.8134,115.8257,77.95,83,97,6.46
6,Nuevo Progreso,MX,2021-10-20 23:49:03,23.1667,-97.95,82.47,62,7,5.01
7,Kavieng,PG,2021-10-20 23:49:04,-2.5744,150.7967,82.71,75,90,6.06
8,Cabo San Lucas,MX,2021-10-20 23:44:40,22.8909,-109.9124,86.61,71,8,9.42
9,Mataura,NZ,2021-10-20 23:47:39,-46.1927,168.8643,56.01,43,83,2.01
10,Magistralnyy,RU,2021-10-20 23:49:05,56.1725,107.4458,25.38,98,80,2.64
11,Bethel,US,2021-10-20 23:48:12,41.3712,-73.414,67.66,75,1,5.75
12,Atuona,PF,2021-10-20 23:47:17,-9.8,-139.0333,77.0,82,13,15.95
13,Rikitea,PF,2021-10-20 23:47:51,-23.1203,-134.9692,74.44,70,29,20.42
14,East London,ZA,2021-10-20 23:48:23,-33.0153,27.9116,62.15,82,44,11.83
15,Rocha,UY,2021-10-20 23:49:07,-34.4833,-54.3333,52.02,86,36,6.8
16,Nizhniy Kuranakh,RU,2021-10-20 23:49:07,58.8353,125.4869,30.34,90,100,7.29
17,Fukue,JP,2021-10-20 23:49:08,32.6881,128.8419,57.56,100,90,1.14
18,Sistranda,NO,2021-10-20 23:49:08,63.7256,8.834,46.9,66,99,36.78
19,Vestmannaeyjar,IS,2021-10-20 23:47:15,63.4427,-20.2734,41.29,71,100,16.46
20,Nome,US,2021-10-20 23:48:28,64.5011,-165.4064,34.16,93,90,6.91
21,Kiama,AU,2021-10-20 23:48:07,-34.6833,150.8667,71.01,71,70,5.28
22,Ponta Do Sol,PT,2021-10-20 23:49:10,32.6667,-17.1,74.03,79,100,6.73
23,Kaitangata,NZ,2021-10-20 23:48:05,-46.2817,169.8464,53.55,52,94,4.29
24,Supe,PE,2021-10-20 23:49:11,-10.8,-77.7333,63.64,85,50,8.88
25,Thompson,CA,2021-10-20 23:47:47,55.7435,-97.8558,35.76,41,75,4.61
26,Bathsheba,BB,2021-10-20 23:49:12,13.2167,-59.5167,83.01,78,40,21.85
27,Buta,CD,2021-10-20 23:49:12,2.7858,24.73,70.23,100,100,0.2
28,Gravdal,NO,2021-10-20 23:49:13,68.1214,13.5031,33.26,97,100,14.97
29,Albany,US,2021-10-20 23:47:04,42.6001,-73.9662,66.61,64,74,5.73
30,Rio Gallegos,AR,2021-10-20 23:49:13,-51.6226,-69.2181,53.65,26,0,8.05
31,Visakhapatnam,IN,2021-10-20 23:49:14,17.69,83.2093,78.69,100,40,2.3
32,Palmer,US,2021-10-20 23:49:14,42.1584,-72.3287,64.81,75,48,3.44
33,Hamilton,US,2021-10-20 23:48:43,39.1834,-84.5333,65.84,67,1,6.91
34,Setermoen,NO,2021-10-20 23:49:15,68.861,18.3486,30.43,86,100,8.39
35,Tautira,PF,2021-10-20 23:48:24,-17.7333,-149.15,80.62,78,71,12.24
36,Hobart,AU,2021-10-20 23:47:42,-42.8794,147.3294,67.01,57,75,1.99
37,Vaini,TO,2021-10-20 23:47:06,-21.2,-175.2,80.76,78,20,10.36
38,Nuqui,CO,2021-10-20 23:49:16,5.7125,-77.2708,77.74,87,99,4.72
39,Talnakh,RU,2021-10-20 23:49:17,69.4865,88.3972,23.85,95,99,13.56
40,Saint-Philippe,RE,2021-10-20 23:49:18,-21.3585,55.7679,72.95,78,41,10.31
41,Naze,JP,2021-10-20 23:49:18,28.3667,129.4833,63.52,86,100,11.43
42,Castro,BR,2021-10-20 23:47:25,-24.7911,-50.0119,51.53,93,71,8.23
43,Bluff,NZ,2021-10-20 23:47:53,-46.6,168.3333,49.55,55,91,5.44
44,Great Yarmouth,GB,2021-10-20 23:49:19,52.6083,1.7305,53.02,89,98,15.75
45,Burgeo,CA,2021-10-20 23:45:07,47.6167,-57.6152,49.19,82,100,11.01
46,Pacific Grove,US,2021-10-20 23:49:20,36.6177,-121.9166,66.4,75,90,1.01
47,Atar,MR,2021-10-20 23:48:46,20.5169,-13.0499,81.52,17,3,9.71
48,Butaritari,KI,2021-10-20 23:47:34,3.0707,172.7902,81.12,76,23,11.48
49,Pradopolis,BR,2021-10-20 23:49:21,-21.3594,-48.0656,71.78,81,44,7.31
50,Mehamn,NO,2021-10-20 23:49:21,71.0357,27.8492,34.14,58,100,25.03
51,Ushuaia,AR,2021-10-20 23:42:53,-54.8,-68.3,49.66,40,20,11.5
52,Sumter,US,2021-10-20 23:49:22,28.7086,-82.0831,77.11,69,90,9.8
53,Arraial Do Cabo,BR,2021-10-20 23:48:12,-22.9661,-42.0278,62.56,94,75,0.0
54,Krasnovishersk,RU,2021-10-20 23:49:23,60.4078,57.082,27.7,93,69,2.84
55,Kodiak,US,2021-10-20 23:47:29,57.79,-152.4072,44.11,81,90,9.22
56,Payo,ID,2021-10-20 23:47:42,-3.7508,103.6372,73.99,96,100,1.03
57,Berdigestyakh,RU,2021-10-20 23:49:24,62.0989,126.6992,29.19,86,99,8.32
58,Dikson,RU,2021-10-20 23:47:35,73.5069,80.5464,27.97,57,91,11.54
59,Lavrentiya,RU,2021-10-20 23:49:25,65.5833,-171.0,32.76,99,100,4.25
60,Lagoa,PT,2021-10-20 23:49:25,39.05,-27.9833,68.56,62,36,2.57
61,Hermanus,ZA,2021-10-20 23:46:59,-34.4187,19.2345,61.81,84,88,4.32
62,Bengkulu,ID,2021-10-20 23:46:57,-3.8004,102.2655,76.23,87,86,2.71
63,Tuktoyaktuk,CA,2021-10-20 23:49:26,69.4541,-133.0374,26.6,86,75,5.75
64,Port Blair,IN,2021-10-20 23:49:27,11.6667,92.75,77.04,88,40,0.0
65,Fairbanks,US,2021-10-20 23:45:57,64.8378,-147.7164,39.2,63,40,5.75
66,Zeya,RU,2021-10-20 23:49:28,53.75,127.2667,35.6,65,81,4.07
67,Saint George,US,2021-10-20 23:47:07,37.1041,-113.5841,71.94,25,1,3.0
68,Kenai,US,2021-10-20 23:49:29,60.5544,-151.2583,45.09,81,90,11.5
69,Puerto Ayora,EC,2021-10-20 23:47:09,-0.7393,-90.3518,70.12,87,100,8.12
70,Kapaa,US,2021-10-20 23:46:57,22.0752,-159.319,84.18,65,1,4.0
71,Tual,ID,2021-10-20 23:49:31,-5.6667,132.75,82.83,75,90,2.3
72,Mareeba,AU,2021-10-20 23:48:30,-17.0,145.4333,86.32,68,12,3.89
73,Santa Lucia,ES,2021-10-20 23:49:31,27.9117,-15.5407,65.12,86,20,18.41
74,La Motte-Servolex,FR,2021-10-20 23:49:32,45.5942,5.8758,64.45,63,23,11.5
75,Bredasdorp,ZA,2021-10-20 23:47:19,-34.5322,20.0403,61.29,98,82,5.84
76,Cape Town,ZA,2021-10-20 23:44:53,-33.9258,18.4232,62.1,76,0,3.0
77,Iqaluit,CA,2021-10-20 23:47:20,63.7506,-68.5145,31.73,80,90,4.0
78,Dong Hoi,VN,2021-10-20 23:45:36,17.4833,106.6,78.13,86,71,3.06
79,Kamenka,RU,2021-10-20 23:47:07,51.3223,42.7678,36.37,61,94,12.82
80,Noshiro,JP,2021-10-20 23:49:34,40.2039,140.0242,47.34,59,91,17.56
81,Port Alfred,ZA,2021-10-20 23:48:02,-33.5906,26.891,62.55,84,34,13.65
82,Kahului,US,2021-10-20 23:48:13,20.8947,-156.47,84.22,64,20,18.41
83,Georgetown,MY,2021-10-20 23:48:10,5.4112,100.3354,76.93,94,40,5.01
84,Batemans Bay,AU,2021-10-20 23:49:35,-35.7167,150.1833,71.2,75,94,5.19
85,Lorengau,PG,2021-10-20 23:47:25,-2.0226,147.2712,84.61,70,73,7.9
86,Dingle,PH,2021-10-20 23:47:30,10.9995,122.6711,81.23,85,70,5.53
87,Shingu,JP,2021-10-20 23:48:09,33.7333,135.9833,58.19,56,100,4.85
88,Pevek,RU,2021-10-20 23:49:36,69.7008,170.3133,18.27,92,100,13.09
89,Ostrovnoy,RU,2021-10-20 23:47:28,68.0531,39.5131,31.73,72,100,16.64
90,Busselton,AU,2021-10-20 23:47:09,-33.65,115.3333,60.04,68,93,15.61
91,Yellowknife,CA,2021-10-20 23:47:06,62.456,-114.3525,43.32,76,20,12.66
92,Qaanaaq,GL,2021-10-20 23:47:02,77.484,-69.3632,11.77,94,80,3.33
93,Bambous Virieux,MU,2021-10-20 23:47:10,-20.3428,57.7575,72.21,83,40,5.75
94,Ahipara,NZ,2021-10-20 23:49:38,-35.1667,173.1667,61.7,92,100,9.89
95,Ilulissat,GL,2021-10-20 23:47:36,69.2167,-51.1,26.62,68,100,2.3
96,Leticia,CO,2021-10-20 23:49:39,-4.2153,-69.9406,75.25,94,75,4.61
97,Tiksi,RU,2021-10-20 23:49:40,71.6872,128.8694,11.37,94,100,5.46
98,Geraldton,AU,2021-10-20 23:47:49,-28.7667,114.6,66.61,72,52,12.66
99,Portland,US,2021-10-20 23:49:00,45.5234,-122.6762,63.18,69,75,1.99
100,Calama,CL,2021-10-20 23:49:41,-22.4667,-68.9333,64.89,12,0,17.27
101,Jalu,LY,2021-10-20 23:47:33,29.0331,21.5482,69.98,47,9,8.19
102,Aksu,CN,2021-10-20 23:49:42,41.1231,80.2644,49.8,31,66,2.3
103,Carnarvon,AU,2021-10-20 23:44:10,-24.8667,113.6333,68.07,64,90,11.5
104,Talcahuano,CL,2021-10-20 23:45:24,-36.7167,-73.1167,55.08,88,90,4.61
105,Karaton,ID,2021-10-20 23:49:43,-6.3424,106.1045,82.96,85,95,1.97
106,Gayny,RU,2021-10-20 23:49:43,60.3071,54.3241,26.31,93,21,3.24
107,Zheleznodorozhnyy,RU,2021-10-20 23:49:44,55.7503,38.0042,45.21,91,100,15.17
108,Zykovo,RU,2021-10-20 23:49:44,55.9519,93.1461,23.74,73,87,4.63
109,Salamiyah,SY,2021-10-20 23:49:45,35.0113,37.0532,61.03,77,0,4.65
110,Santa Maria Del Oro,MX,2021-10-20 23:48:27,25.9333,-105.3667,73.11,42,42,3.87
111,Upernavik,GL,2021-10-20 23:47:26,72.7868,-56.1549,32.61,99,100,10.36
112,Nikolskoye,RU,2021-10-20 23:48:19,59.7035,30.7861,54.88,92,100,14.05
113,Mandurah,AU,2021-10-20 23:49:46,-32.55,115.7,65.91,64,48,18.75
114,Providencia,MX,2021-10-20 23:49:47,28.7167,-111.5833,89.65,49,88,8.99
115,Kattivakkam,IN,2021-10-20 23:49:47,13.2167,80.3167,80.69,78,58,0.49
116,Punta Arenas,CL,2021-10-20 23:47:15,-53.15,-70.9167,48.31,53,20,12.66
117,Airai,TL,2021-10-20 23:47:27,-8.9266,125.4092,74.46,43,93,1.61
118,Najran,SA,2021-10-20 23:49:49,17.4924,44.1277,66.85,31,8,3.18
119,Ulladulla,AU,2021-10-20 23:49:49,-35.35,150.4667,65.77,77,78,3.89
120,Sao Jose Da Coroa Grande,BR,2021-10-20 23:49:50,-8.8978,-35.1478,77.2,85,12,8.57
121,Mahebourg,MU,2021-10-20 23:47:01,-20.4081,57.7,72.25,83,40,5.75
122,Houma,US,2021-10-20 23:49:51,29.5958,-90.7195,79.0,87,75,6.91
123,Norilsk,RU,2021-10-20 23:49:51,69.3535,88.2027,25.32,94,97,13.96
124,Eureka,US,2021-10-20 23:48:00,40.8021,-124.1637,64.2,69,100,7.0
125,Tasiilaq,GL,2021-10-20 23:49:52,65.6145,-37.6368,32.81,43,66,10.27
126,Pisco,PE,2021-10-20 23:49:35,-13.7,-76.2167,62.65,77,0,19.57
127,Klaksvik,FO,2021-10-20 23:47:21,62.2266,-6.589,41.92,67,85,34.65
128,Massakory,TD,2021-10-20 23:49:53,12.996,15.7293,84.15,52,100,10.47
129,Tiarei,PF,2021-10-20 23:49:54,-17.5333,-149.3333,80.62,78,77,10.67
130,Aklavik,CA,2021-10-20 23:48:36,68.2191,-135.0107,27.43,82,99,7.23
131,Hasaki,JP,2021-10-20 23:49:54,35.7333,140.8333,57.6,53,98,14.29
132,Suhbaatar,MN,2021-10-20 23:49:55,50.2314,106.2078,30.36,71,0,3.04
133,Nikolayevsk-Na-Amure,RU,2021-10-20 23:49:55,53.1406,140.73,30.7,69,15,3.94
134,Maunabo,PR,2021-10-20 23:49:56,18.0072,-65.8993,83.43,90,33,7.56
135,Calapi,PH,2021-10-20 23:49:56,11.9435,125.0206,80.17,85,78,2.04
136,Khatanga,RU,2021-10-20 23:47:05,71.9667,102.5,24.58,97,100,4.76
137,Jamestown,US,2021-10-20 23:45:39,42.097,-79.2353,63.72,63,20,8.05
138,Constitucion,CL,2021-10-20 23:47:00,-35.3333,-72.4167,51.93,88,16,3.47
139,Yacuiba,BO,2021-10-20 23:49:58,-22.038,-63.6797,70.03,39,27,2.95
140,Talara,PE,2021-10-20 23:49:58,-4.5772,-81.2719,65.16,82,40,13.8
141,Valdepenas,ES,2021-10-20 23:49:59,38.7621,-3.3848,64.02,59,56,4.72
142,Saldanha,ZA,2021-10-20 23:48:15,-33.0117,17.9442,59.05,90,71,21.65
143,Yumen,CN,2021-10-20 23:47:40,40.2833,97.2,37.6,31,38,7.0
144,Spring Valley,US,2021-10-20 23:50:00,36.108,-115.245,74.14,22,75,1.01
145,Kita,ML,2021-10-20 23:50:01,13.0349,-9.4895,74.44,82,94,1.61
146,Ribeira Grande,PT,2021-10-20 23:47:31,38.5167,-28.7,70.16,62,72,2.93
147,Stege,DK,2021-10-20 23:50:02,54.987,12.2846,57.06,85,55,26.69
148,Cidreira,BR,2021-10-20 23:50:02,-30.1811,-50.2056,63.19,69,93,16.75
149,Tambilil,PH,2021-10-20 23:50:03,5.9622,124.6697,84.29,69,100,2.82
150,Mount Isa,AU,2021-10-20 23:48:15,-20.7333,139.5,83.97,32,74,20.71
151,Fortuna,US,2021-10-20 23:48:32,40.5982,-124.1573,65.19,70,40,4.0
152,Kruisfontein,ZA,2021-10-20 23:50:05,-34.0033,24.7314,61.83,64,57,3.38
153,Saint-Francois,FR,2021-10-20 23:50:06,46.4154,3.9054,63.48,96,75,8.05
154,Vuktyl,RU,2021-10-20 23:50:06,63.8567,57.3094,29.05,92,89,4.52
155,Ayni,TJ,2021-10-20 23:50:07,39.3941,68.5377,54.68,38,85,5.03
156,Komsomolets,KZ,2021-10-20 23:50:07,53.7453,62.0708,33.01,96,100,18.43
157,Shakawe,BW,2021-10-20 23:50:08,-18.3667,21.85,74.16,48,93,4.81
158,Cherskiy,RU,2021-10-20 23:47:34,68.75,161.3,-3.33,100,100,5.37
159,Tarancon,ES,2021-10-20 23:50:08,40.0085,-3.0073,62.49,70,33,7.09
160,Humaita,BR,2021-10-20 23:50:09,-7.5061,-63.0208,81.03,67,97,1.63
161,Patancheru,IN,2021-10-20 23:50:10,17.5314,78.265,74.26,75,95,6.44
162,Mackay,AU,2021-10-20 23:50:10,-21.15,149.2,82.38,69,75,16.11
163,Champerico,GT,2021-10-20 23:48:37,14.3,-91.9167,84.34,84,100,6.29
164,Barquisimeto,VE,2021-10-20 23:50:11,10.0739,-69.3228,77.63,78,56,5.75
165,Merke,KZ,2021-10-20 23:50:11,42.8728,73.1786,54.75,42,69,7.25
166,Constantine,DZ,2021-10-20 23:50:12,36.365,6.6147,56.61,54,0,2.3
167,Saint-Augustin,CA,2021-10-20 23:49:54,51.226,-58.6502,45.1,85,100,13.96
168,Wanning,CN,2021-10-20 23:47:13,18.8003,110.3967,78.8,89,79,1.95
169,Oussouye,SN,2021-10-20 23:50:13,12.485,-16.5469,82.49,80,61,5.97
170,Kibala,TD,2021-10-20 23:50:14,9.1104,18.3463,76.95,83,0,0.0
171,Okato,NZ,2021-10-20 23:50:14,-39.2,173.8833,64.42,72,98,1.48
172,Ancud,CL,2021-10-20 23:48:47,-41.8697,-73.8203,53.13,90,100,9.4
173,San Quintin,MX,2021-10-20 23:50:15,30.4833,-115.95,65.66,71,3,11.68
174,Chuy,UY,2021-10-20 23:50:16,-33.6971,-53.4616,55.98,75,48,7.92
175,Chapais,CA,2021-10-20 23:47:59,49.7834,-74.8492,38.98,96,100,8.14
176,La Ronge,CA,2021-10-20 23:50:17,55.1001,-105.2842,43.05,49,40,6.91
177,Vostok,RU,2021-10-20 23:48:39,46.4856,135.8833,28.09,53,4,1.83
178,Amga,RU,2021-10-20 23:50:17,60.8953,131.9608,24.87,86,100,7.02
179,Lompoc,US,2021-10-20 23:48:52,34.6391,-120.4579,73.69,63,1,13.8
180,Faanui,PF,2021-10-20 23:47:41,-16.4833,-151.75,78.51,80,27,6.8
181,Povenets,RU,2021-10-20 23:50:18,62.8487,34.8262,35.67,98,100,16.75
182,Skjervoy,NO,2021-10-20 23:50:19,70.0311,20.9714,32.14,77,100,24.81
183,Baykit,RU,2021-10-20 23:50:20,61.67,96.37,34.7,91,100,3.89
184,Norman Wells,CA,2021-10-20 23:47:13,65.282,-126.8329,37.44,65,75,10.36
185,Ust-Nera,RU,2021-10-20 23:50:20,64.5667,143.2,6.51,91,99,2.28
186,Savonlinna,FI,2021-10-20 23:50:21,61.8699,28.88,49.24,100,90,8.05
187,Kavaratti,IN,2021-10-20 23:50:21,10.5669,72.642,82.0,73,100,10.65
188,Krasnokamensk,RU,2021-10-20 23:50:22,50.0979,118.0369,22.84,88,10,3.49
